		AND		BOOL	CHAR	CHR		COM		COMMENT	DEQUAL	DIV		ELSE	EQUAL	EXIT	FALSE	FLOAT	FLT		FOR		GTHEN	IDVAR	IF		INT		INTEGER	LBB		LCB		LPAREN	LTHEN	MAIN	MINUS	MOD		MUL		NOT		OR		PLUS	PRINT	RBB		RCB		RETURN	RPAREN	SCOLON	STR		STRING	TRUE	VOID	WHILE	WITH	$end	andor	arrt	assign	bexp	bexp2	bval	dtype	dws		elsests	empty	exp		fact	factarr	fline	ifsts	line	nline	numexp	pline	rln		strvar	term	var		
19		-		r56		r56		r56		-		-		-		-		-		-		r56		r56		r56		r56		r56		-		r56		r56		r56		r56		-		-		-		-		-		-		-		-		-		-		-		r56		-		r56		r56		-		-		r56		-		r56		-		r56		-		r56		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
20		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s37		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
21		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r1		-		-		-		-		-		-		-		-		-		r1		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
22		-		-		-		-		-		-		-		-		-		s25		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s38		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
23		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s39		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
24		-		r55		r55		r55		-		-		-		-		-		-		r55		r55		r55		r55		r55		-		r55		r55		r55		r55		-		-		-		-		-		-		-		-		-		-		-		r55		-		r55		r55		-		-		r55		-		r55		-		r55		-		r55		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
25		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		41		43		-		-		-		-		-		-		-		-		-		42		40		
26		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s50		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
27		-		-		-		-		-		-		-		-		-		s51		-		-		-		-		-		-		-		-		-		-		s29		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r35		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
28		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s52		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
29		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s53		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
30		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s54		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
31		-		-		-		-		-		-		-		-		-		-		-		s49		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		55		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
32		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s56		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
33		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s59		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		58		43		-		-		-		-		-		-		57		-		-		42		40		
34		-		s62		-		s18		-		-		-		-		-		-		-		-		-		s17		-		-		s7		-		s16		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		14		-		-		-		61		-		-		-		-		-		-		60		-		-		-		19		-		-		-		-		4		
35		-		r20		r20		r20		-		-		-		-		-		-		r20		r20		r20		r20		r20		-		r20		r20		r20		r20		-		-		-		-		-		-		-		-		-		-		-		r20		-		r20		r20		-		-		r20		-		r20		-		r20		-		r20		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
36		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		63		64		46		-		-		-		-		65		43		-		-		-		-		-		-		-		-		-		42		40		
37		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		66		64		46		-		-		-		-		65		43		-		-		-		-		-		-		-		-		-		42		40		
38		-		r3		-		r3		-		-		-		-		-		-		r3		-		-		r3		r3		-		r3		r3		r3		-		-		-		-		-		-		-		-		-		-		-		-		r3		-		r3		r3		-		-		r3		-		-		-		r3		-		r3		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
39		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s67		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
40		r30		-		-		-		r30		-		r30		r30		-		-		-		-		-		-		-		r30		-		-		-		-		-		-		-		r30		-		r30		r30		r30		r30		r30		r30		-		-		r30		-		r30		r30		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
41		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s69		-		-		-		-		s68		-		-		-		-		r54		r54		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
42		r23		-		-		-		-		-		r23		s71		-		-		-		-		-		-		-		r23		-		-		-		-		-		-		-		r23		-		r23		s72		s70		r23		r23		r23		-		-		-		-		r23		r23		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
43		r27		-		-		-		-		-		r27		r27		-		-		-		-		-		-		-		r27		-		-		-		-		-		-		-		r27		-		r27		r27		r27		r27		r27		r27		-		-		-		-		r27		r27		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
